,term,frequency
1478,auseinander,12
1479,dagegen,12
1480,söhnlein,12
1481,begreifen,12
1482,ecken,12
1483,sachte,12
1484,aufhören,12
1485,fortgehen,12
1486,erschraken,12
1487,eilig,12
1488,glänzte,12
1489,drinnen,12
1490,vorn,12
1491,ansah,12
1492,wunde,12
1493,groschen,12
1494,glückskind,12
1495,befehl,12
1496,lauf,12
1497,belohnung,12
1498,wovon,12
1499,faden,12
1500,elf,12
1501,begraben,12
1502,sprang,12
1503,angefüllt,12
1504,munt,12
1505,ohr,12
1506,darausen,12
1507,hörte,12
1508,lager,12
1509,aushalten,12
1510,gewöhnlich,12
1511,prächtige,12
1512,sag,12
1513,bekennen,12
1514,kleinen,12
1515,garn,12
1516,mehren,12
1517,narr,12
1518,hierher,12
1519,schlacht,12
1520,schwere,12
1521,möglich,12
1522,beistand,12
1523,welle,12
1524,gewartet,12
1525,hofe,12
1526,Geh,12
1527,buttje,12
1528,gegeben,12
1529,geht,12
1530,grauen,12
1531,zitterte,12
1532,langte,12
1533,erreichen,12
1534,schauen,12
1535,samt,12
1536,halbes,12
1537,ärger,12
1538,beste,12
1539,gedient,12
1540,wohnt,12
1541,gehst,12
1542,aufstand,12
1543,zeichen,12
1544,tat,12
1545,schreiben,12
1546,verirrt,12
1547,verlange,12
1548,weint,12
1549,kalb,12
1550,wirklich,12
1551,weide,12
1552,tischch,12
1553,geworden,12
1554,spannte,12
1555,kleine,12
1556,heu,12
1557,salz,12
1558,spindel,12
1559,kamm,12
1560,schar,12
1561,heinz,12
1562,schultheiß,12
1563,kreis,12
1564,nich,12
1565,wünsch,12
1566,nachtlager,12
1567,nachbar,12
1568,falada,12
1569,bündel,12
1570,up,12
1571,aufmachte,11
1572,saß,11
1573,zurecht,11
1574,kriechen,11
1575,fett,11
1576,hackte,11
1577,spielten,11
1578,verbot,11
1579,elend,11
1580,antworen,11
1581,gescheit,11
1582,schämen,11
1583,ihrs,11
1584,toten,11
1585,deshalb,11
1586,auchen,11
1587,narren,11
1588,ganzen,11
1589,kragen,11
1590,rollte,11
1591,gemacht,11
1592,zusehen,11
1593,decke,11
1594,bösewicht,11
1595,stühle,11
1596,magen,11
1597,vorüber,11
1598,gefährlich,11
1599,zungen,11
1600,herbeiholen,11
1601,gering,11
1602,list,11
1603,fell,11
1604,heute,11
1605,gehorchen,11
1606,leibeskräften,11
1607,ebenfalls,11
1608,benjamin,11
1609,fortgegangen,11
1610,blau,11
1611,abbrechen,11
1612,geheißen,11
1613,pfeife,11
1614,kräfte,11
1615,wiege,11
1616,wächter,11
1617,gesang,11
1618,seide,11
1619,aug,11
1620,außer,11
1621,blind,11
1622,spazieren,11
1623,neidisch,11
1624,atem,11
1625,untereinander,11
1626,goldstück,11
1627,kehr,11
1628,kröte,11
1629,trat,11
1630,verschloss,11
1631,segen,11
1632,besetzen,11
1633,grüne,11
1634,strohhalm,11
1635,geschichte,11
1636,gesellschaft,11
1637,käse,11
1638,Nachdem,11
1639,bestehen,11
1640,reiter,11
1641,nötig,11
1642,tasch,11
1643,sonen,11
1644,linsen,11
1645,abziehen,11
1646,rätsel,11
1647,träumte,11
1648,immerzu,11
1649,bieten,11
1650,schachtel,11
1651,worten,11
